PBO Station Position Time Series.
Format Version, 1.2.0
Reference Frame, NAM08
4-character ID, P513
Station name, Point_Sal_CS2007
Begin Date, 2007-03-22
End Date, 2018-09-15
Release Date, 2018-11-17
Source file, P513.pbo.nam08.pos
Offset from source file, 136.03 mm North, -110.29 mm East, -3.07 mm Vertical
Reference position, 34.9072632191 North Latitude, -120.650172862 East Longitude, 284.58671 meters elevation
Date, North (mm), East (mm), Vertical (mm), North Std. Deviation (mm), East Std. Deviation (mm), Vertical Std. Deviation (mm), Quality,
2007-03-22,0.00, 0.00, 0.00, 2.1, 1.95, 7.79, repro,
2007-03-23,2.14, 1.37, -1.24, 1.12, 1.08, 4.37, repro,
2007-03-24,2.71, 1.76, -1.26, 1.03, 1, 3.98, repro,
2007-03-25,1.86, 2.11, 4.55, 1.16, 1.11, 4.49, repro,
2007-03-26,1.69, 0.99, -1.25, 1.2, 1.16, 4.67, repro,
2007-03-27,1.81, 0.86, -2.07, 1.52, 1.43, 5.79, repro,
2007-03-28,0.63, 1.98, -2.65, 1.1, 1.04, 4.19, repro,
2007-03-29,1.66, 1.79, -8.73, 1.04, 1.01, 4.02, repro,
2007-03-30,2.12, 1.30, -7.06, 0.95, 0.92, 3.67, repro,
2007-03-31,1.93, 1.17, -5.09, 0.95, 0.92, 3.69, repro,
2007-04-01,1.58, 1.99, -0.14, 1.04, 1, 4.02, repro,
2007-04-02,2.04, 1.49, 2.45, 1.2, 1.14, 4.61, repro,
2007-04-03,1.82, 0.46, -6.08, 1.07, 1.03, 4.14, repro,
2007-04-04,2.33, 0.88, -6.27, 1.19, 1.13, 4.59, repro,
2007-04-05,1.67, 1.16, -5.04, 1.37, 1.29, 5.28, repro,
2007-04-06,0.94, -0.24, -7.83, 1.44, 1.36, 5.52, repro,
2007-04-07,0.88, 0.85, -6.81, 1.58, 1.49, 6.04, repro,
2007-04-08,0.78, -0.24, -6.93, 1.24, 1.17, 4.82, repro,
2007-04-09,2.45, -0.13, 1.57, 1.21, 1.14, 4.63, repro,
2007-04-10,1.01, 0.52, -3.52, 1.2, 1.14, 4.61, repro,
2007-04-11,1.86, -0.34, 1.83, 1.2, 1.14, 4.64, repro,
2007-04-12,2.23, 0.33, 2.90, 1.19, 1.12, 4.59, repro,
2007-04-13,2.63, 0.80, -4.68, 1.08, 1.02, 4.16, repro,
2007-04-14,3.19, 0.63, 8.54, 1.46, 1.35, 5.59, repro,
2007-04-15,1.98, -0.13, 4.43, 1.28, 1.19, 4.91, repro,
2007-04-16,3.55, -0.24, -8.04, 1.01, 0.95, 3.9, repro,
2007-04-17,3.71, 0.16, -2.95, 1.22, 1.12, 4.64, repro,
2007-04-18,2.86, -0.03, 0.77, 1.31, 1.21, 4.99, repro,
2007-04-19,2.72, -0.32, 1.47, 1.06, 0.99, 4.1, repro,
2007-04-20,3.94, -0.52, 1.46, 1.31, 1.21, 5.01, repro,
2007-04-21,3.51, -1.23, -2.95, 1.01, 0.93, 3.9, repro,
2007-04-22,5.39, 0.25, -0.33, 1.25, 1.15, 4.76, repro,
2007-04-23,4.18, -0.71, -4.00, 1.04, 0.96, 3.97, repro,
2007-04-24,5.08, -0.77, -6.62, 1.19, 1.1, 4.52, repro,
2007-04-25,3.72, -1.35, -4.96, 1.13, 1.05, 4.31, repro,
2007-04-26,4.41, -1.04, -2.53, 1.15, 1.06, 4.34, repro,
2007-04-27,4.55, -1.11, -6.25, 1.06, 0.98, 4.01, repro,
2007-04-28,5.31, -1.47, -3.51, 1.04, 0.95, 3.93, repro,
2007-04-29,4.94, -1.45, -1.92, 1.06, 0.97, 4, repro,
2007-04-30,4.82, -1.29, -8.17, 0.94, 0.86, 3.59, repro,
2007-05-01,4.46, -1.65, -5.85, 1.18, 1.07, 4.44, repro,
2007-05-02,3.56, -0.95, -0.80, 1.19, 1.05, 4.58, repro,
2007-05-03,4.89, -1.01, -0.62, 1.24, 1.12, 4.71, repro,
2007-05-04,5.37, -1.06, -6.09, 1.08, 0.98, 4.1, repro,
2007-05-05,4.13, -1.83, -4.51, 1.3, 1.2, 4.92, repro,
2007-05-06,6.01, -1.83, -4.91, 1.07, 0.99, 4.08, repro,
2007-05-07,6.18, -2.08, -4.28, 1.03, 0.95, 3.9, repro,
2007-05-08,5.99, -2.12, -6.14, 0.97, 0.88, 3.67, repro,
2007-05-09,6.12, -2.01, -5.56, 0.97, 0.88, 3.67, repro,
2007-05-10,7.08, -1.91, -9.10, 1, 0.91, 3.86, repro,
2007-05-11,6.17, -2.05, -7.36, 1.16, 1.05, 4.35, repro,
2007-05-12,5.46, -1.86, -8.48, 1.1, 1, 4.14, repro,
2007-05-13,5.32, -2.92, -3.31, 1.12, 1.02, 4.27, repro,
2007-05-14,6.45, -2.55, -8.16, 1.08, 0.98, 4.04, repro,
2007-05-15,6.07, -2.99, -5.82, 1.04, 0.95, 3.9, repro,
2007-05-16,5.52, -2.57, -9.96, 1.09, 1.01, 4.1, repro,
2007-05-17,5.53, -2.71, -5.67, 1.05, 0.97, 3.96, repro,
2007-05-18,6.55, -2.94, -9.70, 1.13, 1.03, 4.2, repro,
2007-05-19,5.42, -3.52, -7.32, 1.38, 1.26, 5.15, repro,
2007-05-20,6.40, -3.04, -4.77, 1.25, 1.14, 4.68, repro,
2007-05-21,6.23, -3.43, -3.88, 1.09, 1, 4.11, repro,
2007-05-22,7.77, -3.27, -7.42, 1.04, 0.95, 3.91, repro,
2007-05-23,8.36, -3.40, -4.49, 1.05, 0.95, 3.94, repro,
2007-05-24,7.58, -4.15, -1.53, 1.02, 0.92, 3.81, repro,
2007-05-25,7.52, -3.31, -4.29, 0.98, 0.89, 3.68, repro,
2007-05-26,7.84, -3.27, -5.65, 0.96, 0.87, 3.62, repro,
2007-05-27,6.40, -3.77, -7.06, 1.2, 1.1, 4.51, repro,
2007-05-28,8.24, -4.29, -5.34, 1.4, 1.25, 5.23, repro,
2007-05-29,7.09, -4.10, -4.80, 1.27, 1.15, 4.74, repro,
2007-05-30,7.49, -5.03, -7.29, 1.36, 1.23, 5.09, repro,
2007-05-31,7.71, -4.37, -7.25, 1.2, 1.08, 4.43, repro,
2007-06-01,7.92, -4.25, -3.97, 1.19, 1.08, 4.45, repro,
2007-06-02,7.80, -4.21, -2.59, 1, 0.91, 3.79, repro,
2007-06-03,7.69, -3.28, -2.16, 1.07, 0.98, 4.05, repro,
2007-06-04,7.48, -3.55, -2.45, 1.2, 1.09, 4.53, repro,
2007-06-05,7.03, -5.19, -0.47, 1.54, 1.38, 5.7, repro,
2007-06-06,7.09, -3.16, 7.00, 1.48, 1.33, 5.45, repro,
2007-06-07,8.07, -3.96, 1.32, 1.21, 1.11, 4.6, repro,
2007-06-08,8.80, -4.48, -2.49, 1.05, 0.96, 3.93, repro,
2007-06-09,9.02, -4.40, -3.61, 1.06, 0.97, 4.01, repro,
2007-06-10,8.50, -4.25, -0.86, 1.27, 1.17, 4.82, repro,
2007-06-11,10.00, -4.12, 3.41, 1.42, 1.3, 5.34, repro,
2007-06-12,9.37, -4.83, -6.47, 1.08, 0.98, 4.06, repro,
2007-06-13,9.59, -4.14, -7.40, 1.21, 1.1, 4.55, repro,
2007-06-14,8.97, -4.70, -10.30, 1.18, 1.07, 4.41, repro,
2007-06-15,9.61, -4.94, -5.89, 1.15, 1.07, 4.36, repro,
2007-06-16,9.71, -5.20, -3.57, 1.21, 1.1, 4.57, repro,
2007-06-17,9.83, -4.96, -2.96, 1.04, 0.96, 3.96, repro,
2007-06-18,10.25, -4.43, -3.41, 0.99, 0.92, 3.78, repro,
2007-06-19,10.97, -4.37, -7.82, 1.03, 0.94, 3.9, repro,
2007-06-20,10.21, -4.73, -10.91, 0.97, 0.9, 3.68, repro,
2007-06-21,9.71, -4.48, -3.80, 1.03, 0.96, 4.01, repro,
2007-06-22,9.39, -5.19, -1.72, 1.09, 1.01, 4.15, repro,
2007-06-23,9.47, -5.51, -1.19, 1.09, 0.99, 4.14, repro,
2007-06-24,9.65, -5.52, -0.89, 1.07, 1, 4.16, repro,
2007-06-25,10.31, -5.74, -2.77, 1.11, 1.01, 4.24, repro,
2007-06-26,10.73, -5.81, -10.76, 0.97, 0.89, 3.71, repro,
2007-06-27,10.97, -5.64, -8.26, 1.03, 0.94, 3.93, repro,
2007-06-28,10.13, -5.85, -6.89, 1.08, 0.99, 4.13, repro,
2007-06-29,11.27, -6.01, -8.43, 1.04, 0.97, 4, repro,
2007-06-30,10.47, -5.88, -6.72, 1.2, 1.1, 4.6, repro,
2007-07-01,12.00, -6.06, -1.92, 1.2, 1.1, 4.6, repro,
2007-07-02,11.07, -4.99, -7.39, 1.03, 0.95, 4, repro,
2007-07-03,10.58, -5.42, -6.68, 1.06, 0.97, 4.1, repro,
2007-07-04,11.40, -5.59, -6.31, 1.14, 1.05, 4.42, repro,
2007-07-05,11.68, -6.51, -2.86, 1.13, 1.05, 4.36, repro,
2007-07-06,10.92, -6.22, -1.02, 1.48, 1.37, 5.79, repro,
2007-07-07,11.37, -6.92, -3.44, 1.24, 1.16, 4.82, repro,
2007-07-08,11.58, -7.75, 5.90, 1.17, 1.09, 4.52, repro,
2007-07-09,12.63, -6.14, -2.82, 1.05, 0.97, 4.09, repro,
2007-07-10,12.95, -6.45, -3.22, 1.45, 1.34, 5.6, repro,
2007-07-11,11.82, -6.39, -4.56, 1.53, 1.41, 5.88, repro,
2007-07-12,12.18, -7.12, -10.87, 1.13, 1.08, 4.35, repro,
2007-07-13,10.85, -6.89, -1.22, 1.15, 1.1, 4.44, repro,
2007-07-14,12.49, -6.34, -1.46, 1.41, 1.32, 5.38, repro,
2007-07-15,12.51, -7.08, 2.40, 1.48, 1.39, 5.72, repro,
2007-07-16,13.18, -7.07, 0.65, 1.1, 1.06, 4.3, repro,
2007-07-17,10.11, -7.06, 0.25, 1.44, 1.36, 5.53, repro,
2007-07-18,11.72, -8.56, -1.65, 1.28, 1.23, 5.01, repro,
2007-07-19,13.45, -7.10, -0.91, 1.23, 1.16, 4.73, repro,
2007-07-20,13.46, -7.70, -0.22, 1.16, 1.1, 4.43, repro,
2007-07-21,13.59, -7.77, -4.84, 1.29, 1.22, 4.94, repro,
2007-07-22,13.52, -6.41, 0.52, 1.17, 1.11, 4.53, repro,
2007-07-23,13.00, -7.28, -1.41, 1.54, 1.48, 6.04, repro,
2007-07-24,13.64, -7.63, 7.24, 1.79, 1.65, 6.85, repro,
2007-07-25,13.36, -6.58, 3.62, 1.49, 1.38, 5.77, repro,
2007-07-26,13.02, -7.57, -1.02, 1.4, 1.29, 5.34, repro,
2007-07-27,13.58, -7.09, 3.80, 1.17, 1.09, 4.51, repro,
2007-07-28,14.35, -8.59, -1.77, 1.04, 0.96, 4.01, repro,
2007-07-29,13.61, -7.76, -0.67, 1.17, 1.09, 4.55, repro,
2007-07-30,14.00, -9.39, -2.30, 1.11, 1.03, 4.28, repro,
2007-07-31,14.24, -8.25, -4.71, 0.99, 0.92, 3.88, repro,
2007-08-01,14.72, -7.89, 3.42, 1.18, 1.09, 4.51, repro,
2007-08-02,13.90, -7.84, -0.16, 1.37, 1.24, 5.27, repro,
2007-08-03,15.02, -7.67, -2.61, 1.26, 1.15, 4.82, repro,
2007-08-04,15.10, -8.68, -4.04, 1.11, 1.02, 4.23, repro,
2007-08-05,15.23, -8.90, -3.50, 1.16, 1.06, 4.41, repro,
2007-08-06,13.98, -8.51, -5.89, 1.16, 1.08, 4.45, repro,
2007-08-07,14.38, -8.72, -6.62, 1.02, 0.95, 3.93, repro,
2007-08-08,15.04, -8.91, -0.36, 1.16, 1.07, 4.46, repro,
2007-08-09,13.91, -9.03, -4.83, 1.1, 1.01, 4.17, repro,
2007-08-10,15.22, -9.21, 1.66, 1.05, 0.98, 4.06, repro,
2007-08-11,15.33, -8.82, -3.15, 1.03, 0.97, 3.99, repro,
2007-08-12,14.76, -9.18, -6.93, 1.07, 1, 4.12, repro,
2007-08-13,15.32, -9.49, -6.66, 1.18, 1.1, 4.53, repro,
2007-08-14,15.99, -8.37, -2.64, 1.14, 1.06, 4.37, repro,
2007-08-15,15.36, -8.89, -4.64, 1.22, 1.15, 4.7, repro,
2007-08-16,15.55, -9.91, -0.62, 1.38, 1.27, 5.33, repro,
2007-08-17,16.36, -10.34, -0.24, 1.25, 1.15, 4.83, repro,
2007-08-18,15.57, -9.74, -4.72, 1.07, 0.99, 4.17, repro,
2007-08-19,16.33, -9.87, 2.61, 1.12, 1.03, 4.32, repro,
2007-08-20,16.19, -9.88, -5.09, 1.26, 1.16, 4.88, repro,
2007-08-21,16.24, -10.77, -1.05, 1.24, 1.15, 4.81, repro,
2007-08-22,17.00, -10.97, -2.99, 1.45, 1.33, 5.58, repro,
2007-08-23,17.09, -9.70, -1.80, 1.24, 1.13, 4.75, repro,
2007-08-24,16.86, -10.14, -2.34, 1.26, 1.11, 4.82, repro,
2007-08-25,18.15, -10.00, -7.00, 1.35, 1.23, 5.2, repro,
2007-08-26,17.51, -9.02, -5.53, 1.4, 1.28, 5.37, repro,
2007-08-27,16.98, -11.10, -5.95, 1.56, 1.42, 5.99, repro,
2007-08-28,16.77, -11.07, -3.08, 1.37, 1.25, 5.26, repro,
2007-08-29,17.58, -10.85, -3.44, 1.38, 1.26, 5.27, repro,
2007-08-30,17.73, -10.25, -1.02, 1.85, 1.67, 7.03, repro,
2007-08-31,16.66, -11.13, -6.26, 1.37, 1.26, 5.28, repro,
2007-09-01,17.45, -11.49, -4.61, 1.22, 1.12, 4.65, repro,
2007-09-02,19.31, -10.66, 4.39, 1.59, 1.46, 6.1, repro,
2007-09-03,17.42, -11.81, -2.68, 1.43, 1.31, 5.45, repro,
2007-09-04,17.88, -12.56, -1.73, 1.45, 1.32, 5.49, repro,
2007-09-05,18.07, -12.39, -3.63, 1.26, 1.15, 4.75, repro,
2007-09-06,17.72, -12.41, -4.11, 1.31, 1.19, 4.96, repro,
2007-09-07,18.74, -12.43, 0.79, 1.42, 1.28, 5.31, repro,
2007-09-08,16.69, -12.07, -3.33, 1.34, 1.23, 5.06, repro,
2007-09-09,17.52, -12.34, -4.99, 1.12, 1.03, 4.23, repro,
2007-09-10,17.16, -12.31, -3.49, 1.28, 1.16, 4.9, repro,
2007-09-11,17.40, -11.96, -5.71, 1.31, 1.2, 4.97, repro,
2007-09-12,17.64, -13.02, -6.87, 1.31, 1.19, 5, repro,
2007-09-13,14.66, -12.29, -4.23, 1.33, 1.22, 5.11, repro,
2007-09-14,17.97, -12.60, -3.61, 1.22, 1.12, 4.67, repro,
2007-09-15,18.14, -13.16, 0.87, 1.13, 1.02, 4.3, repro,
2007-09-16,17.20, -13.10, -2.57, 1.15, 1.04, 4.37, repro,
2007-09-17,17.84, -13.49, -1.42, 1.24, 1.14, 4.79, repro,
2007-09-18,18.46, -12.94, -3.37, 1.01, 0.94, 3.93, repro,
2007-09-19,17.81, -14.87, -2.85, 1.47, 1.34, 5.66, repro,
2007-09-20,19.83, -13.63, -1.60, 1.63, 1.48, 6.3, repro,
2007-09-21,18.85, -12.95, -4.85, 1.28, 1.22, 4.97, repro,
2007-09-22,19.24, -13.55, 4.77, 1.48, 1.38, 5.71, repro,
2007-09-23,18.80, -13.54, 0.70, 1.12, 1.06, 4.3, repro,
2007-09-24,18.67, -12.69, 0.27, 1.13, 1.06, 4.3, repro,
2007-09-25,18.63, -13.40, -2.35, 1.16, 1.08, 4.47, repro,
2007-09-26,18.55, -13.55, 0.08, 1.12, 1.05, 4.3, repro,
2007-09-27,18.47, -13.88, 0.22, 1.13, 1.07, 4.36, repro,
2007-09-28,18.96, -14.10, 4.98, 1.23, 1.17, 4.78, repro,
2007-09-29,18.01, -14.49, 1.58, 1.15, 1.09, 4.45, repro,
2007-09-30,18.56, -14.19, 0.15, 1.18, 1.12, 4.54, repro,
2007-10-01,17.39, -13.40, 5.66, 1.35, 1.27, 5.21, repro,
2007-10-02,19.23, -14.04, 0.91, 1.23, 1.17, 4.73, repro,
2007-10-03,20.13, -13.77, 5.75, 1.09, 1.02, 4.16, repro,
2007-10-04,19.03, -15.07, 3.30, 1.14, 1.08, 4.44, repro,
2007-10-05,18.23, -14.59, 7.59, 1.22, 1.15, 4.7, repro,
2007-10-06,19.17, -14.08, 6.11, 1.15, 1.07, 4.4, repro,
2007-10-07,20.13, -14.42, 2.25, 1, 0.93, 3.86, repro,
2007-10-08,19.76, -14.86, 3.31, 1, 0.95, 3.99, repro,
2007-10-09,19.33, -14.20, 2.58, 1.04, 1, 4.07, repro,
2007-10-10,18.95, -14.87, -3.77, 1.38, 1.26, 5.31, repro,
2007-10-11,18.60, -14.48, 4.28, 1.18, 1.1, 4.56, repro,
2007-10-12,19.42, -15.05, 5.35, 1.41, 1.35, 5.48, repro,
2007-10-13,19.74, -15.17, 5.20, 1.28, 1.2, 4.93, repro,
2007-10-14,20.03, -15.43, -3.61, 1.07, 1.02, 4.14, repro,
2007-10-15,19.68, -14.80, 2.34, 1.05, 0.97, 4.05, repro,
2007-10-16,18.63, -15.33, 3.96, 1.21, 1.12, 4.67, repro,
2007-10-17,19.74, -14.54, 11.13, 1.46, 1.39, 5.62, repro,
2007-10-18,21.40, -14.65, 3.92, 1.17, 1.09, 4.52, repro,
2007-10-19,20.47, -14.24, 3.35, 1.19, 1.11, 4.59, repro,
2007-10-20,18.81, -15.79, -1.49, 1.53, 1.39, 5.87, repro,
2007-10-21,20.93, -15.12, 1.12, 1.35, 1.24, 5.2, repro,
2007-10-22,21.33, -14.87, 0.00, 1.06, 0.97, 4.06, repro,
2007-10-23,21.57, -14.99, -3.21, 1.12, 1.04, 4.35, repro,
2007-10-24,21.61, -14.64, -0.97, 1.04, 0.96, 4.01, repro,
2007-10-25,21.58, -15.51, -5.04, 1.01, 0.93, 3.93, repro,
2007-10-26,20.38, -16.27, -0.76, 1.01, 0.94, 3.91, repro,
2007-10-27,22.14, -15.93, -8.44, 1.64, 1.5, 6.4, repro,
2007-10-28,21.70, -15.63, -4.22, 1.35, 1.23, 5.21, repro,
2007-10-29,22.72, -15.01, -4.62, 1.49, 1.35, 5.72, repro,
2007-10-30,21.61, -16.05, -0.30, 1.22, 1.11, 4.69, repro,
2007-10-31,21.72, -15.80, -2.18, 1.05, 0.96, 4.05, repro,
2007-11-01,21.79, -15.94, -2.47, 1.06, 0.95, 4.01, repro,
2007-11-02,22.04, -16.33, -3.04, 1.16, 1.05, 4.44, repro,
2007-11-03,22.03, -15.29, 0.83, 1.14, 1.03, 4.36, repro,
2007-11-04,22.63, -15.61, -1.04, 1.08, 0.98, 4.08, repro,
2007-11-05,22.42, -16.07, -4.74, 1.01, 0.91, 3.83, repro,
2007-11-06,22.36, -16.31, -4.74, 1.1, 1.01, 4.19, repro,
2007-11-07,23.10, -16.69, -6.53, 1.04, 0.94, 3.92, repro,
2007-11-08,22.41, -16.83, -6.70, 1.1, 1.01, 4.2, repro,
2007-11-09,22.96, -16.71, -4.41, 1.43, 1.28, 5.42, repro,
2007-11-10,22.51, -17.91, -4.00, 1.21, 1.09, 4.59, repro,
2007-11-11,22.08, -17.48, -4.07, 1.29, 1.16, 4.91, repro,
2007-11-12,20.73, -16.62, -4.12, 1.49, 1.32, 5.58, repro,
2007-11-13,25.52, -16.99, -9.18, 1.64, 1.45, 6.19, repro,
2007-11-14,22.67, -16.94, -11.60, 1.42, 1.27, 5.38, repro,
2007-11-15,23.89, -17.44, -4.22, 1.03, 0.92, 3.92, repro,
2007-11-16,24.42, -18.70, -4.73, 1.15, 1.03, 4.37, repro,
2007-11-17,23.58, -18.10, -4.14, 1.3, 1.16, 4.93, repro,
2007-11-18,22.66, -18.78, -2.69, 1.08, 0.95, 4.09, repro,
2007-11-19,23.10, -18.17, -5.03, 1.05, 0.95, 3.96, repro,
2007-11-20,22.91, -18.44, -14.08, 1.58, 1.4, 5.98, repro,
2007-11-21,23.39, -17.79, -10.44, 1.22, 1.08, 4.61, repro,
2007-11-22,24.27, -18.37, -9.28, 1.04, 0.94, 4.01, repro,
2007-11-23,24.47, -18.47, -9.94, 1.07, 0.97, 4.12, repro,
2007-11-24,25.55, -18.24, -10.42, 1.11, 1.01, 4.29, repro,
2007-11-25,24.97, -18.80, -4.11, 1.03, 0.93, 3.95, repro,
2007-11-26,25.20, -18.91, -8.78, 1.15, 1.04, 4.42, repro,
2007-11-27,25.65, -18.54, -6.07, 1.14, 1.03, 4.36, repro,
2007-11-28,26.14, -18.63, -6.64, 1.26, 1.13, 4.76, repro,
2007-11-29,25.39, -18.95, -2.27, 1.17, 1.06, 4.5, repro,
2007-11-30,24.39, -18.54, -2.66, 1.46, 1.33, 5.58, repro,
2007-12-01,24.76, -18.80, -3.49, 1.16, 1.05, 4.45, repro,
2007-12-02,25.97, -18.73, -7.29, 1.05, 0.95, 4.03, repro,
2007-12-03,25.70, -18.76, -10.23, 1.04, 0.94, 4, repro,
2007-12-04,26.52, -18.65, -6.14, 1.28, 1.16, 4.96, repro,
2007-12-05,24.61, -18.74, -8.81, 1.75, 1.59, 6.81, repro,
2007-12-06,25.67, -19.52, -1.13, 1.21, 1.11, 4.66, repro,
2007-12-07,25.01, -19.15, 6.33, 1.6, 1.48, 6.2, repro,
2007-12-08,24.29, -18.38, -0.93, 1.2, 1.08, 4.61, repro,
2007-12-09,26.94, -18.53, -7.42, 1.49, 1.37, 5.82, repro,
2007-12-10,26.57, -19.20, -8.85, 1.07, 0.97, 4.2, repro,
2007-12-11,25.80, -18.91, -3.81, 1.11, 1, 4.29, repro,
2007-12-12,27.19, -19.21, -5.62, 1.08, 0.95, 4.17, repro,
2007-12-13,28.69, -19.87, -9.74, 1.44, 1.3, 5.53, repro,
2007-12-14,27.54, -19.50, -5.94, 1.15, 1.04, 4.48, repro,
2007-12-15,27.82, -20.03, -10.32, 1.17, 1.06, 4.53, repro,
2007-12-16,26.40, -20.38, -7.61, 1.08, 0.97, 4.2, repro,
2007-12-17,27.66, -19.74, -1.52, 1.29, 1.16, 4.99, repro,
2007-12-18,28.63, -20.04, -4.78, 1.36, 1.22, 5.32, repro,
2007-12-19,28.22, -20.72, -5.10, 1.45, 1.31, 5.59, repro,
2007-12-20,28.73, -20.51, -0.81, 1.38, 1.23, 5.32, repro,
2007-12-21,27.54, -19.62, 1.52, 1.2, 1.09, 4.68, repro,
2007-12-22,28.69, -19.69, -6.74, 1.13, 1.02, 4.39, repro,
2007-12-23,30.03, -20.01, -4.27, 1.22, 1.11, 4.76, repro,
2007-12-24,28.30, -19.98, -5.34, 1.43, 1.31, 5.58, repro,
2007-12-25,28.43, -21.16, -5.78, 1.2, 1.1, 4.72, repro,
2007-12-26,28.54, -20.27, -2.20, 1.33, 1.19, 5.16, repro,
2007-12-27,28.39, -21.76, 2.96, 1.11, 1.02, 4.37, repro,
2007-12-28,29.17, -20.85, -2.08, 1.14, 1.06, 4.45, repro,
2007-12-29,29.49, -20.65, 0.49, 1.09, 1.01, 4.29, repro,
2007-12-30,28.60, -20.31, -6.59, 1.05, 0.97, 4.09, repro,
2007-12-31,28.95, -20.90, -6.03, 1.37, 1.25, 5.27, repro,
2008-01-01,29.17, -21.11, -7.50, 1.01, 0.92, 3.88, repro,
2008-01-02,29.21, -21.58, -3.63, 1.07, 0.97, 4.1, repro,
2008-01-03,29.14, -21.47, -1.02, 1.31, 1.17, 5.04, repro,
2008-01-04,30.82, -21.83, -3.88, 1.29, 1.17, 5.01, repro,
2008-01-05,31.00, -22.34, 1.00, 1.38, 1.23, 5.33, repro,
2008-01-06,29.32, -22.26, -3.16, 1.52, 1.35, 5.75, repro,
2008-01-07,29.60, -20.98, -2.65, 1.12, 1.01, 4.33, repro,
2008-01-08,30.13, -20.83, -6.80, 1.28, 1.13, 4.92, repro,
2008-01-09,29.37, -21.48, -6.68, 1.26, 1.12, 4.95, repro,
2008-01-10,31.19, -20.53, -0.25, 1.45, 1.3, 5.57, repro,
2008-01-11,29.97, -20.41, -1.16, 1.34, 1.2, 5.2, repro,
2008-01-12,30.82, -21.17, -0.54, 1.19, 1.08, 4.64, repro,
2008-01-13,29.21, -23.03, -11.73, 1.32, 1.18, 5.08, repro,
2008-01-14,30.96, -21.90, -6.86, 1.01, 0.92, 3.97, repro,
2008-01-15,30.86, -20.93, -2.23, 1.12, 1.03, 4.42, repro,
2008-01-16,29.88, -21.71, -6.43, 1.21, 1.09, 4.63, repro,
2008-01-17,30.87, -22.07, -1.10, 1.08, 0.98, 4.19, repro,
2008-01-18,30.90, -22.01, -5.70, 0.99, 0.92, 3.89, repro,
2008-01-19,30.54, -21.85, -3.95, 0.96, 0.88, 3.76, repro,
2008-01-20,30.72, -21.64, -6.95, 0.99, 0.9, 3.89, repro,
2008-01-21,30.54, -21.68, -3.33, 1.17, 1.06, 4.58, repro,
2008-01-22,32.14, -21.66, -14.13, 1.41, 1.26, 5.41, repro,
2008-01-23,31.53, -21.41, -8.31, 1.4, 1.26, 5.4, repro,
2008-01-24,31.67, -22.18, -3.25, 1.4, 1.26, 5.44, repro,
2008-01-25,32.97, -22.13, -7.54, 1.36, 1.23, 5.28, repro,
2008-01-26,33.55, -21.46, -8.84, 1.41, 1.27, 5.4, repro,
2008-01-27,32.85, -22.68, 3.83, 1.89, 1.69, 7.4, repro,
2008-01-28,32.30, -21.31, 0.62, 1.26, 1.17, 4.86, repro,
2008-01-29,32.61, -21.97, 0.81, 1.09, 1.03, 4.25, repro,
2008-01-30,32.24, -21.41, 0.09, 1.16, 1.07, 4.58, repro,
2008-01-31,33.79, -21.84, -6.33, 1.11, 1, 4.33, repro,
2008-02-01,32.99, -21.93, -4.26, 1.28, 1.16, 4.95, repro,
2008-02-02,33.51, -22.28, -5.42, 1.15, 1.04, 4.51, repro,
2008-02-03,33.12, -22.13, 2.08, 1.2, 1.08, 4.68, repro,
2008-02-04,32.46, -22.36, 0.41, 1.17, 1.05, 4.58, repro,
2008-02-05,33.50, -22.29, -5.36, 1.12, 1.02, 4.37, repro,
2008-02-06,34.15, -22.55, -8.11, 1.09, 1, 4.28, repro,
2008-02-07,35.04, -21.30, -7.12, 1.19, 1.08, 4.67, repro,
2008-02-08,33.45, -22.45, -5.84, 1.39, 1.26, 5.37, repro,
2008-02-09,33.77, -21.35, -1.76, 1.06, 0.98, 4.1, repro,
2008-02-10,33.57, -22.27, -0.17, 1.06, 0.98, 4.1, repro,
2008-02-11,33.00, -22.28, -0.74, 1.13, 1.04, 4.38, repro,
2008-02-12,33.92, -22.11, -1.28, 1.05, 0.96, 4.06, repro,
2008-02-13,33.63, -22.65, -0.39, 1.13, 1.04, 4.4, repro,
2008-02-14,33.11, -23.00, -1.89, 1.29, 1.18, 5.02, repro,
2008-02-15,34.33, -23.32, -2.49, 1.03, 0.97, 3.96, repro,
2008-02-16,33.79, -22.97, 0.04, 1.06, 0.98, 4.12, repro,
2008-02-17,32.88, -23.06, -6.68, 0.97, 0.9, 3.79, repro,
2008-02-18,33.06, -23.24, -1.66, 1.14, 1.05, 4.44, repro,
2008-02-19,34.20, -23.29, -0.65, 1.29, 1.18, 4.98, repro,
2008-02-20,34.86, -24.11, -4.42, 1.4, 1.29, 5.42, repro,
2008-02-21,33.93, -24.54, -2.63, 1.59, 1.45, 6.19, repro,
2008-02-22,36.98, -24.04, -4.25, 1.5, 1.37, 5.77, repro,
2008-02-23,34.36, -23.38, 1.41, 1.42, 1.31, 5.44, repro,
2008-02-24,35.75, -24.33, -4.80, 1.56, 1.43, 6.03, repro,
2008-02-25,33.32, -23.57, -3.53, 1.17, 1.08, 4.5, repro,
2008-02-26,35.18, -24.00, -6.64, 1.05, 0.97, 4.07, repro,
2008-02-27,35.50, -24.28, -7.65, 1.21, 1.1, 4.68, repro,
2008-02-28,34.76, -25.72, -7.28, 1.29, 1.18, 4.98, repro,
